Gmt time,Open,High,Low,Close,Volume
04.11.2022 00:00:00.000,20170,21254,20146,21088,862.3322
05.11.2022 00:00:00.000,21088,21414,21022,21271,149.9304
06.11.2022 00:00:00.000,21271,21333,20859,20872,281.175
07.11.2022 00:00:00.000,20871,21036,20362,20561,660.6946
08.11.2022 00:00:00.000,20561,20636,17151,18511,1116.3288
09.11.2022 00:00:00.000,18511,18551,15542,15862,2617.2669
10.11.2022 00:00:00.000,15860,18132,15707,17533,2459.0001
11.11.2022 00:00:00.000,17533,17628,16323,16948,2746.6409
12.11.2022 00:00:00.000,16951,17003,16534,16747,323.2134
13.11.2022 00:00:00.000,16750,16895,16206,16285,123.4184
14.11.2022 00:00:00.000,16285,17156,15830,16571,581.8381
15.11.2022 00:00:00.000,16571,17070,16483,16841,1146.098
16.11.2022 00:00:00.000,16841,16960,16331,16619,1807.7511
17.11.2022 00:00:00.000,16614,16694,16369,16644,998.0678
18.11.2022 00:00:00.000,16645,16941,16501,16616,1207.8871
19.11.2022 00:00:00.000,16615,16762,16471,16650,753.104
20.11.2022 00:00:00.000,16649,16696,16093,16225,1228.992
21.11.2022 00:00:00.000,16225,16254,15440,15722,2565.418
22.11.2022 00:00:00.000,15722,16248,15572,16178,1886.481
23.11.2022 00:00:00.000,16172,16641,16114,16557,177.2739
24.11.2022 00:00:00.000,16557,16755,16418,16557,754.829
25.11.2022 00:00:00.000,16557,16570,16310,16449,129.536
26.11.2022 00:00:00.000,16450,16630,16357,16416,24.316
27.11.2022 00:00:00.000,16416,16553,16366,16388,28.8865
28.11.2022 00:00:00.000,16388,16442,15968,16174,86.0835
29.11.2022 00:00:00.000,16174,16502,16063,16402,67.201
30.11.2022 00:00:00.000,16403,17207,16392,17131,94.004
01.12.2022 00:00:00.000,17131,17261,16834,16940,431.976
02.12.2022 00:00:00.000,16940,17066,16764,17030,305.1825
03.12.2022 00:00:00.000,17029,17095,16835,16850,483.2297
04.12.2022 00:00:00.000,16850,17166,16848,17076,44.293
05.12.2022 00:00:00.000,17076,17384,16841,16929,446.761
06.12.2022 00:00:00.000,16929,17065,16876,17052,819.41
07.12.2022 00:00:00.000,17052,17099,16654,16803,787.153
08.12.2022 00:00:00.000,16803,17258,16706,17189,870.194
09.12.2022 00:00:00.000,17189,17309,17039,17067,337.6465
10.12.2022 00:00:00.000,17067,17187,17056,17091,8.3402
11.12.2022 00:00:00.000,17091,17230,17029,17058,14.6609
12.12.2022 00:00:00.000,17056,17202,16844,17173,312.1606
13.12.2022 00:00:00.000,17174,17929,17052,17738,1105.68
14.12.2022 00:00:00.000,17738,18340,17631,17768,1198.717
15.12.2022 00:00:00.000,17768,17816,17250,17321,966.296
16.12.2022 00:00:00.000,17321,17489,16467,16569,973.09
17.12.2022 00:00:00.000,16569,16758,16522,16744,806.782
18.12.2022 00:00:00.000,16744,16805,16624,16705,879.505
19.12.2022 00:00:00.000,16705,16779,16240,16402,747.924
20.12.2022 00:00:00.000,16401,17012,16362,16863,802.315
21.12.2022 00:00:00.000,16863,16885,16699,16791,670.602
22.12.2022 00:00:00.000,16790,16827,16529,16781,806.852
23.12.2022 00:00:00.000,16781,16895,16695,16713,865.456
24.12.2022 00:00:00.000,16713,16798,16711,16772,169.048
25.12.2022 00:00:00.000,16773,16789,16661,16765,167.168
26.12.2022 00:00:00.000,16788,16907,16761,16878,517.0185
27.12.2022 00:00:00.000,16879,16929,16558,16662,379.833
28.12.2022 00:00:00.000,16663,16739,16431,16509,553.124
29.12.2022 00:00:00.000,16509,16622,16451,16596,372.568
30.12.2022 00:00:00.000,16596,16609,16302,16539,854.767
31.12.2022 00:00:00.000,16542,16569,16464,16530,35.851
01.01.2023 00:00:00.000,16474,16582,16461,16576,113.295
02.01.2023 00:00:00.000,16575,16755,16511,16634,511.54
03.01.2023 00:00:00.000,16634,16733,16571,16641,20.163
